2025-12-08T00:04:34.766Z DEBUG 273 --- [rm-scheduling-1] org.hibernate.SQL                        : select rs1_0.id,rs1_0.chunk_count,rs1_0.columns,rs1_0.created_by,rs1_0.created_date,rs1_0.expires_at,rs1_0.last_modified_by,rs1_0.last_modified_date,rs1_0.name,rs1_0.preview_columns,rs1_0.row_count,rs1_0.storage_format,rs1_0.storage_uri,rs1_0.ttl_days from result_set rs1_0 where rs1_0.expires_at<? 
2025-12-08T01:04:53.384Z DEBUG 273 --- [rm-scheduling-1] org.hibernate.SQL                        : select rs1_0.id,rs1_0.chunk_count,rs1_0.columns,rs1_0.created_by,rs1_0.created_date,rs1_0.expires_at,rs1_0.last_modified_by,rs1_0.last_modified_date,rs1_0.name,rs1_0.preview_columns,rs1_0.row_count,rs1_0.storage_format,rs1_0.storage_uri,rs1_0.ttl_days from result_set rs1_0 where rs1_0.expires_at<? 
2025-12-08T01:32:14.878Z  INFO 273 --- [.IO.thread-in-1] c.h.i.server.tcp.TcpServerConnection     : [172.18.0.6]:5701 [dev] [5.5.0] Connection[id=3, /172.18.0.6:5701->/172.18.0.9:55153, qualifier=null, endpoint=[172.18.0.9]:5701, remoteUuid=0d8e2256-96a4-4b79-8e3a-422a22d57036, alive=false, connectionType=MEMBER, planeIndex=0] closed. Reason: Connection closed by the other side 
2025-12-08T01:32:14.881Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:32:14.881Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:32:14.990Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:32:14.991Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:32:15.106Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:32:15.107Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:32:15.219Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:32:15.220Z  INFO 273 --- [ached.thread-13] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:32:15.220Z  WARN 273 --- [ached.thread-13] .h.i.s.t.TcpServerConnectionErrorHandler : [172.18.0.6]:5701 [dev] [5.5.0] Removing connection to endpoint [172.18.0.9]:5701 Cause => java.io.IOException {Connection refused to address /172.18.0.9:5701}, Error-Count: 5 
2025-12-08T01:32:15.220Z  INFO 273 --- [ached.thread-13] c.h.i.cluster.impl.MembershipManager     : [172.18.0.6]:5701 [dev] [5.5.0] Removing Member [172.18.0.9]:5701 - 0d8e2256-96a4-4b79-8e3a-422a22d57036 
2025-12-08T01:32:15.220Z  INFO 273 --- [ached.thread-13] c.h.i.p.impl.PartitionStateManagerImpl   : [172.18.0.6]:5701 [dev] [5.5.0] Storing snapshot of partition assignments while removing UUID 0d8e2256-96a4-4b79-8e3a-422a22d57036 
2025-12-08T01:32:15.221Z  INFO 273 --- [ached.thread-13] c.h.internal.cluster.ClusterService      : [172.18.0.6]:5701 [dev] [5.5.0] __Members {size:1, ver:23} [__Member [172.18.0.6]:5701 - 243cf81e-0ce0-4f6b-8253-f21621f67727 this_]_ 
2025-12-08T01:32:15.221Z  INFO 273 --- [cached.thread-3] c.h.t.TransactionManagerService          : [172.18.0.6]:5701 [dev] [5.5.0] Committing/rolling-back live transactions of [172.18.0.9]:5701, UUID: 0d8e2256-96a4-4b79-8e3a-422a22d57036 
2025-12-08T01:32:15.232Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] Partition balance is ok, no need to repartition. 
2025-12-08T01:36:37.647Z  INFO 273 --- [.IO.thread-in-0] c.h.i.server.tcp.TcpServerConnection     : [172.18.0.6]:5701 [dev] [5.5.0] Initialized new cluster connection between /172.18.0.6:5701 and /172.18.0.9:46277 
2025-12-08T01:36:37.736Z  INFO 273 --- [ration.thread-0] c.h.internal.cluster.ClusterService      : [172.18.0.6]:5701 [dev] [5.5.0] __Members {size:2, ver:24} [__Member [172.18.0.6]:5701 - 243cf81e-0ce0-4f6b-8253-f21621f67727 this__Member [172.18.0.9]:5701 - 92c4ab8f-a6a5-4212-a41c-77018653fa3c_]_ 
2025-12-08T01:36:37.988Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] Repartitioning cluster data. Migration tasks count: 271 
2025-12-08T01:36:38.092Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] All migration tasks have been completed. (repartitionTime=Mon Dec 08 01:36:37 UTC 2025, plannedMigrations=271, completedMigrations=271, remainingMigrations=0, totalCompletedMigrations=1091) 
2025-12-08T01:43:56.785Z  INFO 273 --- [.IO.thread-in-0] c.h.i.server.tcp.TcpServerConnection     : [172.18.0.6]:5701 [dev] [5.5.0] Connection[id=4, /172.18.0.6:5701->/172.18.0.9:46277, qualifier=null, endpoint=[172.18.0.9]:5701, remoteUuid=92c4ab8f-a6a5-4212-a41c-77018653fa3c, alive=false, connectionType=MEMBER, planeIndex=0] closed. Reason: Connection closed by the other side 
2025-12-08T01:43:56.787Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:43:56.788Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:43:56.907Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:43:56.908Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:43:57.010Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:43:57.010Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:43:57.121Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:43:57.122Z  INFO 273 --- [ached.thread-12] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:43:57.122Z  WARN 273 --- [ached.thread-12] .h.i.s.t.TcpServerConnectionErrorHandler : [172.18.0.6]:5701 [dev] [5.5.0] Removing connection to endpoint [172.18.0.9]:5701 Cause => java.io.IOException {Connection refused to address /172.18.0.9:5701}, Error-Count: 5 
2025-12-08T01:43:57.123Z  INFO 273 --- [ached.thread-12] c.h.i.cluster.impl.MembershipManager     : [172.18.0.6]:5701 [dev] [5.5.0] Removing Member [172.18.0.9]:5701 - 92c4ab8f-a6a5-4212-a41c-77018653fa3c 
2025-12-08T01:43:57.123Z  INFO 273 --- [ached.thread-12] c.h.i.p.impl.PartitionStateManagerImpl   : [172.18.0.6]:5701 [dev] [5.5.0] Storing snapshot of partition assignments while removing UUID 92c4ab8f-a6a5-4212-a41c-77018653fa3c 
2025-12-08T01:43:57.124Z  INFO 273 --- [ached.thread-12] c.h.internal.cluster.ClusterService      : [172.18.0.6]:5701 [dev] [5.5.0] __Members {size:1, ver:25} [__Member [172.18.0.6]:5701 - 243cf81e-0ce0-4f6b-8253-f21621f67727 this_]_ 
2025-12-08T01:43:57.124Z  INFO 273 --- [ached.thread-15] c.h.t.TransactionManagerService          : [172.18.0.6]:5701 [dev] [5.5.0] Committing/rolling-back live transactions of [172.18.0.9]:5701, UUID: 92c4ab8f-a6a5-4212-a41c-77018653fa3c 
2025-12-08T01:43:57.137Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] Partition balance is ok, no need to repartition. 
2025-12-08T01:45:34.037Z  INFO 273 --- [.IO.thread-in-2] c.h.i.server.tcp.TcpServerConnection     : [172.18.0.6]:5701 [dev] [5.5.0] Initialized new cluster connection between /172.18.0.6:5701 and /172.18.0.9:49479 
2025-12-08T01:45:34.131Z  INFO 273 --- [ration.thread-0] c.h.internal.cluster.ClusterService      : [172.18.0.6]:5701 [dev] [5.5.0] __Members {size:2, ver:26} [__Member [172.18.0.6]:5701 - 243cf81e-0ce0-4f6b-8253-f21621f67727 this__Member [172.18.0.9]:5701 - 68b4bce2-b935-4735-8906-23b4b7ab4e4e_]_ 
2025-12-08T01:45:34.382Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] Repartitioning cluster data. Migration tasks count: 271 
2025-12-08T01:45:34.464Z  INFO 273 --- [tform.migration] c.h.i.p.impl.MigrationManagerImpl        : [172.18.0.6]:5701 [dev] [5.5.0] All migration tasks have been completed. (repartitionTime=Mon Dec 08 01:45:34 UTC 2025, plannedMigrations=271, completedMigrations=271, remainingMigrations=0, totalCompletedMigrations=1362) 
2025-12-08T01:54:08.743Z  INFO 273 --- [.IO.thread-in-2] c.h.i.server.tcp.TcpServerConnection     : [172.18.0.6]:5701 [dev] [5.5.0] Connection[id=5, /172.18.0.6:5701->/172.18.0.9:49479, qualifier=null, endpoint=[172.18.0.9]:5701, remoteUuid=68b4bce2-b935-4735-8906-23b4b7ab4e4e, alive=false, connectionType=MEMBER, planeIndex=0] closed. Reason: Connection closed by the other side 
2025-12-08T01:54:08.745Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:54:08.746Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:54:08.867Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:54:08.868Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:54:08.971Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
2025-12-08T01:54:08.971Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Could not connect to: /172.18.0.9:5701. Reason: IOException[Connection refused to address /172.18.0.9:5701] 
2025-12-08T01:54:09.083Z  INFO 273 --- [cached.thread-5] c.h.i.server.tcp.TcpServerConnector      : [172.18.0.6]:5701 [dev] [5.5.0] Connecting to /172.18.0.9:5701, timeout: 10000, bind-any: true 
